TABLE_NAME,COLUMN_NAME,DATA_TYPE
salesforce_case,Transaction_Type__c,string
salesforce_case,Type__c,string
salesforce_case,USSD_Code__c,string
salesforce_case,USSNR__c,string
salesforce_case,Upload_Speed__c,string
salesforce_case,User_ID__c,string
salesforce_case,Ward__c,string
salesforce_case,Loyalty_Item__c,string
salesforce_case,isAssigned__c,string
salesforce_case,isChecked__c,string
salesforce_case,isReopen__c,string
salesforce_case,Program_Name__c,string
salesforce_case,Case_closed_in_24_hours__c,string
salesforce_case,Case_closed_in_48_hours__c,string
salesforce_case,Approval_Status__c,string
salesforce_case,Previous_Queue_Name__c,string
salesforce_case,Refund_API_Status__c,string
salesforce_case,Refund_Adjustment__c,string
salesforce_case,Refund_Amount__c,string
salesforce_case,Refund_DA_Id__c,string
salesforce_case,Refund_Product_Id__c,string
salesforce_case,Refund_Request__c,string
salesforce_case,Refund_Response__c,string
salesforce_case,Refund_Status__c,string
salesforce_case,Refund_Submitted_User__c,string
salesforce_case,Refund_Type__c,string
salesforce_case,Refund_Unit_Type__c,string
salesforce_case,Data__c,string
salesforce_case,Location_Process__c,string
salesforce_case,Package_activated__c,string
salesforce_case,SMS__c,string
salesforce_case,Service_Credit__c,string
salesforce_case,Voice__c,string
salesforce_case,IDD19__c,string
salesforce_case,Invoice_Month__c,string
salesforce_case,Site_Name__c,string
salesforce_case,To_Email_Address__c,string
salesforce_case,Mobile_Color__c,string
salesforce_case,Salutation__c,string
salesforce_case,FirstName__c,string
salesforce_case,MiddleName__c,string
salesforce_case,LastName__c,string
salesforce_case,Birthdate__c,string
salesforce_case,Address1__c,string
salesforce_case,Address2__c,string
salesforce_case,Company__c,string
salesforce_case,Zip__c,string
salesforce_case,PhoneHome__c,string
salesforce_case,PhoneWork__c,string
salesforce_case,DeviceInstallmentFee__c,string
salesforce_case,service_ServiceName__c,string
salesforce_case,City__c,string
salesforce_case,ConnectionType__c,string
salesforce_case,CustomerType__c,string
salesforce_case,SalesChannel__c,string
salesforce_case,State__c,string
salesforce_case,ID_Card_Front__c,string
salesforce_case,UserID__c,string
salesforce_case,source__c,string
salesforce_case,Time_After_Last_Modified__c,string
salesforce_case,ID_Card_Back__c,string
salesforce_case,Payment_Reference__c,string
salesforce_case,Action_Taken_User__c,string
salesforce_case,No_Action_Taken_For__c,string
salesforce_case,Refund_Level_2__c,string
salesforce_case,Refund_Level_3__c,string
salesforce_case,Refund_Level_4__c,string
salesforce_case,Refund_Level_5__c,string
salesforce_case,Refund_Level_6__c,string
salesforce_case,Cell_ID__c,string
salesforce_case,KPI_Value_Avg__c,string
salesforce_case,Link_Type__c,string
salesforce_case,Device_Name__c,string
salesforce_case,Ring__c,string
salesforce_case,Start_Date__c,string
salesforce_case,End_Date__c,string
salesforce_case,BSCS_Transaction_CAXCT__c,string
salesforce_case,Entertainment_Service__c,string
salesforce_case,Site_ID__c,string
salesforce_case,Network_Type__c,string
salesforce_case,Postpaid_Packages__c,string
salesforce_case,Moolee_Merchant_Type__c,string
salesforce_case,location_B__c,string
salesforce_case,Customer_Code__c,string
salesforce_case,Connection_Status__c,string
salesforce_case,Disconnected_Date__c,string
salesforce_case,eSIM_Status__c,string
salesforce_case,EnterpriseConnection_Type__c,string
salesforce_case,Equipment__c,string
salesforce_case,Start_of_Disturbance__c,string
salesforce_case,End_of_Disturbance__c,string
salesforce_case,Reported_Datetime__c,datetime64[s]
salesforce_case,Disturbance_Duration__c,string
salesforce_case,Reported_EOD_Duration__c,string
salesforce_case,Response_Duration__c,string
salesforce_case,Network_IP_address__c,string
salesforce_case,VLAN_ID__c,string
salesforce_case,LC_Type__c,string
salesforce_case,Bandwidth__c,string
salesforce_case,Mobile_Storage__c,string
salesforce_case,ID_Card_Number__c,string
salesforce_case,Faseyha_Broadband_Number__c,string
salesforce_case,M_Faisaa_Number__c,string
salesforce_case,Return_Date__c,string
salesforce_case,Adults__c,string
salesforce_case,Childen__c,string
salesforce_case,Infants__c,string
salesforce_case,Approval_Ref_Number__c,string
salesforce_case,Ooredoo_Bank_account_number__c,string
salesforce_case,payment_status__c,string
salesforce_case,Nationality__c,string
salesforce_case,Passport_face_page__c,string
salesforce_case,Loyalty_Voucher_ID__c,string
salesforce_case,Staff_Created__c,string
salesforce_case,Rateplan__c,string
salesforce_case,Passport_back_page__c,string
salesforce_case,Coverage_type__c,string
salesforce_case,arrival_date__c,string
salesforce_case,Apps_Connector__c,string
salesforce_case,SIM_Card_Photo__c,string
salesforce_case,Agent_Name__c,string
salesforce_case,MLM_Agent_ID__c,string
salesforce_case,Rateplan_TP__c,string
salesforce_case,Passport_No__c,string
salesforce_case,SMS_header__c,string
salesforce_case,SMS_ooredoo_link__c,string
salesforce_case,SMS_Footer_1__c,string
salesforce_case,Change_Ownership_from_Queue__c,string
salesforce_case,ETA_of_Case_Closure__c,string
salesforce_case,Birth_date__c,string
salesforce_case,CityS__c,string
salesforce_case,States__c,string
salesforce_case,CountryS__c,string
salesforce_case,Supernet_Service_Type__c,string
salesforce_case,SuperNet_Connection_Type__c,string
salesforce_case,Payment_Type__c,string
salesforce_case,Floors__c,string
salesforce_case,Severity__c,string
salesforce_case,Assigned_To__c,string
salesforce_case,Actual_Reason__c,string
salesforce_case,Department__c,string
salesforce_case,Kiosk_Name__c,string
salesforce_case,Kiosk_ticket_Reference_number__c,string
salesforce_case,Kiosk_Attachements__c,string
salesforce_case,Customer_Rateplan__c,string
salesforce_case,Promised_Date__c,string
salesforce_case,Open_Amount__c,string
salesforce_case,Payment_Month__c,string
salesforce_case,above_or_below_24_hours__c,string
salesforce_case,MTTR__c,string
salesforce_case,Network_Uptime__c,string
salesforce_case,Duration_hours__c,string
salesforce_case,above_or_below_48_hours__c,string
salesforce_case,Outage_Category__c,string
salesforce_case,Service_Category__c,string
salesforce_case,Service_Sub_Category__c,string
salesforce_case,resol_bet_48_to_72_hrs__c,string
salesforce_case,Device_Type__c,string
salesforce_case,identifier__c,string
salesforce_case,above_or_below_72_hrs__c,string
salesforce_case,Agent_Number__c,string
salesforce_case,Business_Hours_Aging__c,string
salesforce_case,Request_Data__c,string
salesforce_case,Acc_Number__c,string
salesforce_case,Meter_Number__c,string
salesforce_case,txn_id__c,string
salesforce_case,utility_id__c,string
salesforce_case,utility_response__c,string
salesforce_case,Product_ID__c,string
salesforce_case,Created_On__c,string
salesforce_case,Updated_On__c,string
salesforce_case,Faseyha_Number__c,string
salesforce_case,SLA_48hours_based_on_Queue_Entered__c,string
salesforce_case,Entry_For_Team__c,string
salesforce_case,Child_Case__c,string
salesforce_case,Direct_Debit_Status__c,string
salesforce_case,Rejected_Reason__c,string
salesforce_case,Alternative_Contact__c,string
salesforce_case,Price_Change_From__c,string
salesforce_case,Price_Change_To__c,string
salesforce_case,GL_Code__c,string
